  cust  |  prod  | quant 
 Emily  | Jelly  |    50
 Wally  | Cherry |    46
 Dan    | Ice    |   757
 Sam    | Eggs   |   447
 Claire | Eggs   |    17
 Emily  | Fish   |   193
 Helen  | Ice    |   680
 Emily  | Ice    |   468
 Dan    | Fish   |   426
 Boo    | Apple  |   524
 Boo    | Apple  |   130
 Chae   | Apple  |   921
 Claire | Jelly  |   797
 Dan    | Eggs   |   619
 Boo    | Jelly  |   788
 Chae   | Dates  |   586
 Boo    | Ice    |   702
 Boo    | Butter |   672
 Chae   | Cherry |   583
 Mia    | Cherry |   895
 Mia    | Jelly  |    92
 Chae   | Ham    |   673
 Emily  | Ice    |   555
 Boo    | Cherry |    72
 Claire | Cherry |   407
 Boo    | Apple  |    99
 Claire | Ham    |   512
 Mia    | Fish   |   534
 Mia    | Grapes |   641
 Claire | Ham    |   104
 Claire | Cherry |   574
 Emily  | Ice    |   422
 Emily  | Grapes |   742
 Mia    | Butter |    55
 Chae   | Eggs   |   923
 Mia    | Fish   |   832
 Emily  | Jelly  |   251
 Dan    | Cherry |   345
 Claire | Jelly  |   862
 Sam    | Eggs   |   801
 Wally  | Apple  |   442
 Chae   | Ham    |   804
 Mia    | Apple  |    26
 Sam    | Ham    |   218
 Claire | Grapes |    44
 Helen  | Dates  |   771
 Chae   | Grapes |   239
 Wally  | Grapes |   359
 Claire | Jelly  |   914
 Boo    | Ice    |   792
 Sam    | Cherry |   315
 Helen  | Cherry |    44
 Emily  | Dates  |    39
 Boo    | Dates  |   138
 Sam    | Butter |   220
 Mia    | Jelly  |   948
 Helen  | Jelly  |   486
 Chae   | Fish   |   519
 Dan    | Ice    |   215
 Claire | Grapes |   296
 Mia    | Apple  |   572
 Emily  | Apple  |   734
 Chae   | Fish   |    82
 Wally  | Grapes |   565
 Boo    | Cherry |   942
 Emily  | Ham    |   256
 Mia    | Eggs   |   177
 Wally  | Apple  |   912
 Sam    | Fish   |   356
 Chae   | Eggs   |   432
 Mia    | Jelly  |    26
 Chae   | Dates  |   675
 Mia    | Cherry |   992
 Wally  | Eggs   |   411
 Claire | Jelly  |   409
 Mia    | Cherry |   742
 Helen  | Cherry |   213
 Helen  | Ice    |   838
 Claire | Cherry |   469
 Wally  | Dates  |   143
 Dan    | Fish   |   205
 Mia    | Butter |   390
 Dan    | Butter |   603
 Helen  | Cherry |   533
 Emily  | Eggs   |   579
 Helen  | Cherry |   444
 Boo    | Butter |   748
 Sam    | Grapes |   114
 Wally  | Dates  |   314
 Chae   | Cherry |   933
 Dan    | Butter |   727
 Dan    | Dates  |   146
 Chae   | Apple  |   241
 Claire | Cherry |   520
 Dan    | Grapes |   401
 Boo    | Fish   |   832
 Wally  | Fish   |   330
 Boo    | Apple  |    35
 Sam    | Dates  |   977
 Boo    | Grapes |   600
 Helen  | Dates  |   949
 Mia    | Jelly  |   978
 Boo    | Fish   |   249
 Claire | Jelly  |   151
 Mia    | Ham    |   176
 Dan    | Dates  |    28
 Boo    | Apple  |    88
 Boo    | Eggs   |   958
 Wally  | Butter |    98
 Wally  | Fish   |   840
 Emily  | Ham    |   700
 Claire | Fish   |   160
 Boo    | Eggs   |   767
 Emily  | Dates  |   885
 Boo    | Dates  |   966
 Claire | Grapes |   976
 Dan    | Grapes |   452
 Dan    | Dates  |   544
 Chae   | Ham    |    76
 Sam    | Grapes |   170
 Mia    | Jelly  |   938
 Boo    | Jelly  |   495
 Helen  | Fish   |   429
 Wally  | Cherry |   777
 Sam    | Eggs   |   671
 Helen  | Fish   |   423
 Dan    | Fish   |   463
 Sam    | Ice    |   683
 Chae   | Apple  |   716
 Mia    | Fish   |   242
 Mia    | Apple  |   624
 Sam    | Apple  |   141
 Mia    | Ham    |   545
 Boo    | Ham    |   417
 Wally  | Ice    |   620
 Sam    | Eggs   |   371
 Boo    | Grapes |   117
 Mia    | Eggs   |   149
 Boo    | Eggs   |   198
 Boo    | Jelly  |    49
 Claire | Eggs   |   593
 Claire | Dates  |   940
 Mia    | Cherry |   703
 Boo    | Grapes |   608
 Emily  | Fish   |   328
 Emily  | Eggs   |   367
 Sam    | Grapes |   257
 Sam    | Ice    |   700
 Wally  | Grapes |   654
 Wally  | Eggs   |   916
 Wally  | Grapes |   351
 Dan    | Ham    |   843
 Dan    | Butter |   854
 Wally  | Grapes |   382
 Chae   | Ice    |   691
 Helen  | Dates  |   387
 Dan    | Grapes |   631
 Mia    | Cherry |   905
 Wally  | Fish   |   178
 Wally  | Eggs   |   272
 Mia    | Eggs   |   490
 Wally  | Fish   |   191
 Mia    | Dates  |   641
 Claire | Dates  |   244
 Emily  | Dates  |   369
 Mia    | Ham    |   647
 Sam    | Jelly  |   679
 Boo    | Grapes |   953
 Sam    | Fish   |   508
 Claire | Ice    |   224
 Helen  | Cherry |   122
 Helen  | Apple  |    71
 Sam    | Butter |   539
 Claire | Grapes |   996
 Boo    | Dates  |   156
 Sam    | Cherry |   732
 Chae   | Fish   |   955
 Claire | Ice    |   978
 Sam    | Fish   |   659
 Sam    | Dates  |   784
 Dan    | Cherry |   300
 Boo    | Butter |   600
 Wally  | Ham    |   659
 Boo    | Butter |   536
 Mia    | Jelly  |   483
 Wally  | Eggs   |   223
 Wally  | Apple  |   757
 Wally  | Apple  |   383
 Claire | Butter |   332
 Dan    | Cherry |   790
 Helen  | Ham    |   105
 Dan    | Fish   |   259
 Boo    | Eggs   |   729
 Mia    | Dates  |   960
 Mia    | Grapes |   535
 Boo    | Jelly  |   606
 Claire | Butter |   190
 Helen  | Grapes |   746
 Sam    | Cherry |    36
 Chae   | Ice    |    98
 Claire | Eggs   |   995
 Wally  | Fish   |   529
 Emily  | Eggs   |   765
 Dan    | Cherry |    98
 Claire | Ham    |    42
 Emily  | Grapes |   160
 Helen  | Grapes |   660
 Emily  | Ice    |   887
 Claire | Grapes |   348
 Dan    | Eggs   |   675
 Sam    | Eggs   |   575
 Chae   | Ice    |   633
 Emily  | Fish   |   504
 Dan    | Butter |   309
 Boo    | Dates  |    18
 Wally  | Fish   |   488
 Helen  | Ice    |   939
 Emily  | Dates  |   333
 Dan    | Jelly  |   804
 Claire | Eggs   |   592
 Claire | Jelly  |   633
 Dan    | Apple  |   538
 Sam    | Ice    |   738
 Emily  | Ham    |   443
 Boo    | Grapes |   259
 Mia    | Fish   |   199
 Dan    | Fish   |   967
 Claire | Grapes |   804
 Helen  | Jelly  |   214
 Sam    | Cherry |    97
 Emily  | Ham    |   978
 Mia    | Ham    |    16
 Dan    | Dates  |   563
 Boo    | Fish   |   440
 Sam    | Apple  |   922
 Dan    | Grapes |   340
 Helen  | Ham    |   489
 Claire | Fish   |   810
 Sam    | Cherry |    25
 Helen  | Apple  |   974
 Emily  | Apple  |   710
 Dan    | Ice    |   682
 Sam    | Grapes |   139
 Emily  | Cherry |   412
 Sam    | Apple  |   799
 Claire | Ham    |   978
 Sam    | Dates  |   272
 Claire | Butter |   363
 Wally  | Jelly  |     1
 Helen  | Eggs   |   637
 Emily  | Grapes |   894
 Chae   | Grapes |   700
 Emily  | Jelly  |   339
 Chae   | Butter |   519
 Chae   | Apple  |   431
 Mia    | Butter |   790
 Claire | Grapes |   413
 Claire | Eggs   |   980
 Emily  | Eggs   |   116
 Sam    | Jelly  |   986
 Chae   | Fish   |   448
 Claire | Cherry |   877
 Boo    | Eggs   |   350
 Mia    | Eggs   |   822
 Wally  | Apple  |   319
 Emily  | Jelly  |   747
 Wally  | Fish   |   518
 Wally  | Jelly  |   165
 Mia    | Jelly  |   850
 Dan    | Grapes |    24
 Chae   | Jelly  |   463
 Wally  | Dates  |   757
 Mia    | Cherry |   449
 Sam    | Cherry |   248
 Mia    | Apple  |   846
 Mia    | Butter |   650
 Sam    | Jelly  |   287
 Helen  | Ice    |   109
 Mia    | Apple  |   383
 Emily  | Grapes |   928
 Chae   | Fish   |   109
 Sam    | Jelly  |   966
 Boo    | Grapes |   145
 Wally  | Butter |   576
 Mia    | Grapes |   792
 Boo    | Butter |   416
 Claire | Butter |   116
 Dan    | Fish   |   229
 Claire | Butter |   696
 Emily  | Jelly  |   156
 Wally  | Dates  |   309
 Chae   | Ice    |   475
 Claire | Jelly  |   638
 Helen  | Butter |   706
 Claire | Butter |   519
 Helen  | Jelly  |   150
 Helen  | Grapes |   753
 Chae   | Jelly  |   559
 Mia    | Jelly  |   295
 Claire | Dates  |   681
 Sam    | Apple  |   507
 Chae   | Cherry |   477
 Mia    | Fish   |   293
 Chae   | Dates  |   760
 Helen  | Ham    |   619
 Claire | Grapes |   525
 Claire | Cherry |   392
 Claire | Grapes |   180
 Dan    | Ham    |    78
 Dan    | Jelly  |   744
 Mia    | Grapes |   134
 Wally  | Cherry |   957
 Dan    | Ice    |   702
 Claire | Dates  |   212
 Emily  | Jelly  |   131
 Mia    | Ham    |   147
 Chae   | Fish   |   179
 Sam    | Apple  |   393
 Wally  | Ham    |   377
 Wally  | Butter |   397
 Wally  | Butter |   904
 Wally  | Eggs   |   174
 Chae   | Apple  |   711
 Sam    | Ham    |   202
 Dan    | Fish   |   246
 Emily  | Cherry |   410
 Chae   | Jelly  |   853
 Boo    | Grapes |    32
 Wally  | Grapes |   518
 Mia    | Ham    |   990
 Chae   | Grapes |   536
 Dan    | Butter |   110
 Chae   | Butter |   926
 Sam    | Dates  |   310
 Sam    | Ham    |   939
 Emily  | Ice    |   407
 Claire | Dates  |   158
 Boo    | Apple  |   922
 Emily  | Jelly  |   842
 Helen  | Dates  |   896
 Claire | Ham    |    37
 Chae   | Ham    |   382
 Emily  | Ham    |     5
 Dan    | Ham    |   789
 Wally  | Dates  |   492
 Claire | Fish   |   478
 Boo    | Ham    |   148
 Chae   | Ice    |   730
 Boo    | Dates  |   324
 Emily  | Butter |    42
 Chae   | Apple  |   872
 Dan    | Dates  |   847
 Emily  | Apple  |    74
 Chae   | Ham    |   339
 Chae   | Ice    |   845
 Chae   | Cherry |   266
 Chae   | Fish   |   838
 Mia    | Fish   |   588
 Mia    | Butter |   284
 Mia    | Ham    |   780
 Claire | Butter |   858
 Emily  | Ham    |   960
 Emily  | Fish   |   229
 Boo    | Apple  |   977
 Claire | Fish   |   404
 Helen  | Eggs   |  1000
 Wally  | Eggs   |   425
 Helen  | Ham    |   228
 Helen  | Butter |    44
 Sam    | Ice    |   657
 Wally  | Dates  |   678
 Boo    | Cherry |   680
 Wally  | Fish   |   239
 Sam    | Jelly  |   754
 Claire | Dates  |   753
 Chae   | Cherry |   309
 Sam    | Eggs   |   713
 Mia    | Jelly  |   475
 Claire | Apple  |   560
 Claire | Cherry |   245
 Boo    | Ham    |   573
 Sam    | Apple  |   400
 Claire | Fish   |   670
 Chae   | Grapes |   975
 Boo    | Eggs   |   278
 Dan    | Apple  |   601
 Claire | Ham    |    84
 Helen  | Fish   |   250
 Sam    | Fish   |   234
 Claire | Cherry |   663
 Dan    | Grapes |   632
 Chae   | Ham    |   163
 Sam    | Apple  |   635
 Dan    | Butter |   132
 Sam    | Cherry |   545
 Chae   | Butter |   380
 Chae   | Grapes |   536
 Sam    | Grapes |   445
 Boo    | Butter |   653
 Emily  | Grapes |   194
 Mia    | Cherry |   734
 Emily  | Cherry |    35
 Helen  | Ham    |   421
 Dan    | Dates  |   214
 Dan    | Cherry |   957
 Sam    | Cherry |   949
 Chae   | Dates  |   440
 Dan    | Grapes |   408
 Wally  | Eggs   |   900
 Boo    | Dates  |   507
 Mia    | Cherry |   435
 Chae   | Apple  |   813
 Emily  | Jelly  |   214
 Wally  | Cherry |   667
 Helen  | Fish   |   498
 Boo    | Ham    |   265
 Boo    | Eggs   |   536
 Boo    | Fish   |   102
 Boo    | Cherry |   952
 Boo    | Jelly  |   211
 Sam    | Fish   |   526
 Mia    | Cherry |   459
 Sam    | Butter |   134
 Sam    | Fish   |   584
 Wally  | Apple  |   908
 Helen  | Apple  |   686
 Emily  | Ice    |   561
 Helen  | Apple  |   801
 Wally  | Butter |    16
 Boo    | Butter |   120
 Claire | Grapes |   996
 Mia    | Apple  |   361
 Sam    | Ham    |   671
 Helen  | Dates  |   550
 Dan    | Jelly  |   792
 Wally  | Dates  |   930
 Emily  | Grapes |   978
 Sam    | Eggs   |   547
 Wally  | Butter |   160
 Wally  | Eggs   |   408
 Emily  | Jelly  |   348
 Dan    | Cherry |   246
 Emily  | Fish   |   130
 Claire | Eggs   |    58
 Chae   | Ice    |   784
 Dan    | Cherry |   249
 Claire | Dates  |   541
 Wally  | Eggs   |    93
 Sam    | Ham    |   465
 Sam    | Cherry |  1000
 Helen  | Dates  |   282
 Dan    | Fish   |   100
 Boo    | Eggs   |   615
 Wally  | Dates  |   973
 Mia    | Grapes |   779
 Sam    | Apple  |   454
 Wally  | Jelly  |   747
 Chae   | Eggs   |    59
 Helen  | Jelly  |   352
 Claire | Ham    |   212
 Wally  | Jelly  |   724
 Helen  | Ham    |   345
 Dan    | Apple  |   819
 Claire | Ice    |    29
 Helen  | Butter |   173
 Boo    | Eggs   |   563
 Mia    | Apple  |   795
 Emily  | Butter |   921
 Dan    | Fish   |   936
 Sam    | Dates  |   878
 Boo    | Fish   |   969
 Sam    | Fish   |   553
 Helen  | Ice    |   928
 Helen  | Apple  |   787
 Mia    | Fish   |   262
 Helen  | Ice    |   905
 Sam    | Jelly  |   429
 Dan    | Fish   |   982
 Helen  | Ham    |   669
 Emily  | Fish   |   202
 Boo    | Ice    |   106
 Helen  | Cherry |   652
 Wally  | Eggs   |   264
 Helen  | Cherry |    41
 Boo    | Jelly  |   115
 Chae   | Ham    |   490
 Claire | Eggs   |    18
 Emily  | Dates  |    90
 Mia    | Fish   |   497
 Sam    | Dates  |   886
 Sam    | Ice    |   266
 Emily  | Fish   |    49
 Wally  | Ham    |   953
 Mia    | Cherry |   665
 Wally  | Ham    |   638
 Wally  | Cherry |   497
 Claire | Butter |   820
 Dan    | Eggs   |   843
 Wally  | Dates  |   507
 Mia    | Fish   |   951
 Emily  | Butter |   397
 Chae   | Ice    |    50
 Boo    | Dates  |   282
 Wally  | Eggs   |   800
 Claire | Eggs   |    62
 Chae   | Grapes |   683
 Helen  | Cherry |   474
 Helen  | Fish   |   497
 Wally  | Dates  |   569
 Helen  | Ice    |   157
 Claire | Ham    |   687
 Claire | Ice    |    36
 Sam    | Cherry |   965
 Chae   | Ham    |    39
 Boo    | Butter |    35
 Chae   | Apple  |   777
 Sam    | Eggs   |   987
 Wally  | Dates  |   519
 Helen  | Jelly  |   730
 Helen  | Eggs   |   920
 Sam    | Jelly  |   413
 Wally  | Ice    |   694
 Dan    | Grapes |   392
 Wally  | Fish   |   399
 Helen  | Ice    |    27
 Chae   | Butter |   874
 Sam    | Fish   |   611
 Helen  | Ham    |   210
 Emily  | Eggs   |    66
 Wally  | Ham    |   107
 Wally  | Cherry |   758
 Dan    | Dates  |   983
 Mia    | Ham    |   296
 Emily  | Apple  |   546
 Emily  | Apple  |   811
 Chae   | Cherry |    10
 Mia    | Ham    |   161
 Emily  | Ice    |   133
 Mia    | Eggs   |   760
 Mia    | Butter |   538
 Emily  | Dates  |   161
 Mia    | Grapes |   288
 Dan    | Jelly  |   215
 Claire | Grapes |   992
 Boo    | Ham    |    45
 Emily  | Cherry |   572
 Chae   | Grapes |    53
 Boo    | Fish   |   773
 Chae   | Apple  |   207
 Dan    | Butter |   577
 Emily  | Ham    |   439
 Emily  | Dates  |   124
 Chae   | Cherry |   870
 Emily  | Cherry |   509
 Sam    | Apple  |   700
 Boo    | Cherry |   302
 Chae   | Ham    |   589
 Dan    | Fish   |    63
 Emily  | Ham    |   917
 Wally  | Apple  |   945
 Chae   | Ice    |   160
 Wally  | Grapes |   757
 Helen  | Apple  |   272
 Helen  | Ham    |   532
 Emily  | Dates  |   901
 Chae   | Dates  |   773
 Wally  | Cherry |   779
 Chae   | Grapes |   613
 Boo    | Dates  |   285
 Wally  | Cherry |   305
 Mia    | Apple  |   606
 Sam    | Butter |   493
 Sam    | Apple  |   101
 Boo    | Grapes |   655
 Dan    | Jelly  |   955
 Wally  | Eggs   |   488
 Dan    | Jelly  |   869
 Chae   | Eggs   |   489
 Mia    | Eggs   |   210
 Sam    | Ham    |    47
 Dan    | Ham    |   722
 Helen  | Eggs   |   565
 Chae   | Butter |   282
 Boo    | Jelly  |   619
 Dan    | Ham    |   102
 Boo    | Cherry |   354
 Boo    | Dates  |   966
 Chae   | Grapes |    33
 Boo    | Ice    |   262
 Emily  | Grapes |   857
 Emily  | Butter |   583
 Sam    | Butter |   142
 Mia    | Dates  |   388
 Mia    | Butter |   221
 Claire | Ham    |   857
 Helen  | Dates  |   306
 Dan    | Ice    |    56
 Emily  | Grapes |   331
 Dan    | Apple  |   101
 Boo    | Eggs   |   828
 Helen  | Ice    |   432
 Chae   | Ham    |   997
 Sam    | Dates  |   815
 Claire | Apple  |   504
 Boo    | Ham    |   906
 Boo    | Eggs   |   302
 Sam    | Butter |   844
 Mia    | Ham    |   908
 Wally  | Apple  |   717
 Claire | Jelly  |   695
 Mia    | Eggs   |   696
 Mia    | Fish   |   878
 Mia    | Ice    |   755
 Emily  | Eggs   |   323
 Emily  | Eggs   |   449
 Helen  | Grapes |   434
 Helen  | Jelly  |   390
 Claire | Dates  |   949
 Helen  | Butter |   546
 Wally  | Dates  |   481
 Claire | Ham    |   403
 Boo    | Butter |   788
 Claire | Cherry |   499
 Sam    | Ice    |   318
 Mia    | Jelly  |   743
 Emily  | Fish   |   683
 Emily  | Jelly  |   597
 Emily  | Butter |   570
 Dan    | Cherry |   939
 Emily  | Jelly  |   196
 Chae   | Dates  |   444
 Sam    | Ice    |   811
 Wally  | Ice    |   987
 Helen  | Eggs   |   616
 Claire | Jelly  |   323
 Helen  | Grapes |   368
 Dan    | Eggs   |   296
 Dan    | Butter |   107
 Boo    | Fish   |   901
 Mia    | Ice    |   403
 Claire | Apple  |   561
 Mia    | Eggs   |   855
 Boo    | Eggs   |   840
 Helen  | Butter |   845
 Sam    | Jelly  |   241
 Claire | Ham    |   150
 Wally  | Cherry |   811
 Dan    | Butter |    85
 Boo    | Grapes |   757
 Claire | Ice    |   746
 Helen  | Cherry |   894
 Wally  | Dates  |   602
 Emily  | Apple  |   125
 Boo    | Ham    |   973
 Chae   | Ham    |   930
 Claire | Butter |   175
 Sam    | Cherry |   237
 Sam    | Dates  |   402
 Emily  | Apple  |   503
 Mia    | Apple  |   695
 Chae   | Ham    |   117
 Sam    | Ham    |   165
 Wally  | Dates  |   291
 Helen  | Ham    |   385
 Sam    | Fish   |    57
 Mia    | Cherry |    91
 Helen  | Fish   |    12
 Wally  | Fish   |   646
 Helen  | Jelly  |    89
 Dan    | Ice    |    38
 Emily  | Butter |   753
 Helen  | Ice    |   903
 Emily  | Cherry |    54
 Dan    | Cherry |   597
 Chae   | Fish   |   667
 Wally  | Grapes |   220
 Emily  | Fish   |   623
 Dan    | Apple  |   220
 Boo    | Dates  |    87
 Helen  | Cherry |   383
 Helen  | Apple  |   662
 Claire | Dates  |   191
 Emily  | Apple  |   485
 Claire | Eggs   |   572
 Boo    | Grapes |   566
 Chae   | Grapes |   454
 Chae   | Fish   |   826
 Wally  | Ham    |   454
 Helen  | Cherry |   503
 Helen  | Cherry |   206
 Sam    | Apple  |   279
 Emily  | Eggs   |   686
 Emily  | Cherry |   771
 Emily  | Cherry |    54
 Emily  | Ice    |   816
 Sam    | Jelly  |   925
 Chae   | Dates  |   469
 Chae   | Apple  |   585
 Emily  | Grapes |     5
 Emily  | Cherry |   279
 Emily  | Ham    |   257
 Claire | Dates  |   350
 Sam    | Apple  |   349
 Emily  | Fish   |   435
 Wally  | Ham    |   853
 Boo    | Dates  |   720
 Mia    | Ice    |   766
 Dan    | Cherry |   991
 Wally  | Cherry |   679
 Mia    | Ice    |   816
 Chae   | Grapes |   647
 Dan    | Ham    |   973
 Helen  | Fish   |   304
 Dan    | Apple  |   561
 Boo    | Ham    |   452
 Mia    | Jelly  |   483
 Chae   | Apple  |   572
 Wally  | Eggs   |   434
 Mia    | Ham    |   902
 Helen  | Ham    |   738
 Claire | Eggs   |   709
 Claire | Eggs   |   415
 Boo    | Grapes |   972
 Wally  | Fish   |   129
 Boo    | Grapes |    53
 Helen  | Ham    |     7
 Chae   | Jelly  |   791
 Sam    | Ham    |   953
 Sam    | Grapes |    23
 Chae   | Dates  |    36
 Dan    | Jelly  |   263
 Emily  | Fish   |   194
 Dan    | Grapes |   747
 Sam    | Apple  |   643
 Chae   | Ice    |   313
 Sam    | Cherry |   755
 Sam    | Fish   |   836
 Emily  | Ham    |   123
 Helen  | Eggs   |   609
 Claire | Ham    |   271
 Mia    | Apple  |   463
 Claire | Ham    |   569
 Helen  | Cherry |   413
 Claire | Butter |   188
 Emily  | Dates  |   667
 Wally  | Fish   |   109
 Wally  | Ham    |   948
 Helen  | Fish   |   203
 Sam    | Cherry |   849
 Dan    | Jelly  |   129
 Helen  | Fish   |   983
 Emily  | Jelly  |   654
 Wally  | Cherry |    85
 Sam    | Cherry |   400
 Emily  | Butter |   884
 Emily  | Ham    |   795
 Sam    | Jelly  |   250
 Helen  | Fish   |   783
 Boo    | Eggs   |   582
 Mia    | Grapes |   446
 Boo    | Ice    |   522
 Claire | Apple  |   455
 Mia    | Apple  |    16
 Chae   | Eggs   |   335
 Emily  | Dates  |   401
 Chae   | Eggs   |   138
 Emily  | Fish   |   309
 Dan    | Butter |   151
 Claire | Butter |   785
 Helen  | Ham    |   924
 Dan    | Grapes |    95
 Chae   | Butter |   120
 Emily  | Ice    |   702
 Emily  | Eggs   |   858
 Emily  | Dates  |   816
 Helen  | Butter |   424
 Boo    | Ice    |   542
 Mia    | Grapes |   564
 Claire | Butter |   936
 Mia    | Apple  |   197
 Helen  | Ham    |    15
 Claire | Jelly  |   938
 Dan    | Ham    |   901
 Dan    | Butter |   165
 Boo    | Apple  |   269
 Boo    | Cherry |   658
 Claire | Apple  |   584
 Wally  | Eggs   |   978
 Wally  | Apple  |   187
 Emily  | Cherry |   573
 Boo    | Grapes |   354
 Wally  | Fish   |   180
 Helen  | Jelly  |   473
 Wally  | Eggs   |   286
 Claire | Ham    |   466
 Emily  | Eggs   |   425
 Wally  | Fish   |   431
 Emily  | Eggs   |   704
 Boo    | Jelly  |   571
 Chae   | Butter |    11
 Claire | Dates  |   281
 Boo    | Dates  |   708
 Mia    | Dates  |   533
 Claire | Ice    |   230
 Chae   | Dates  |   820
 Claire | Dates  |   928
 Wally  | Ham    |   383
 Boo    | Grapes |   937
 Helen  | Apple  |   285
 Helen  | Ham    |   524
 Helen  | Butter |   123
 Dan    | Cherry |   176
 Wally  | Dates  |   160
 Helen  | Cherry |   178
 Sam    | Dates  |   562
 Boo    | Ham    |   311
 Boo    | Fish   |   826
 Wally  | Eggs   |   667
 Emily  | Apple  |   788
 Mia    | Eggs   |    39
 Helen  | Grapes |    14
 Helen  | Fish   |   671
 Emily  | Apple  |   748
 Claire | Dates  |   247
 Sam    | Ham    |   177
 Emily  | Dates  |   512
 Mia    | Butter |   616
 Dan    | Cherry |   446
 Emily  | Eggs   |   550
 Mia    | Cherry |   224
 Boo    | Jelly  |   945
 Sam    | Fish   |   221
 Emily  | Apple  |   917
 Sam    | Eggs   |   214
 Sam    | Apple  |   438
 Sam    | Cherry |   710
 Sam    | Eggs   |    67
 Claire | Jelly  |   687
 Boo    | Cherry |   467
 Sam    | Dates  |   475
 Mia    | Eggs   |   428
 Emily  | Eggs   |    74
 Wally  | Butter |   468
 Sam    | Jelly  |   731
 Wally  | Butter |   362
 Mia    | Cherry |   949
 Helen  | Dates  |   814
 Mia    | Eggs   |    99
 Boo    | Dates  |   273
 Mia    | Apple  |   958
 Dan    | Eggs   |   942
 Boo    | Cherry |   670
 Mia    | Butter |   735
 Helen  | Apple  |    19
 Mia    | Ham    |   690
 Helen  | Ham    |   435
 Chae   | Cherry |   656
 Dan    | Grapes |   614
 Emily  | Fish   |   510
 Helen  | Jelly  |   523
 Boo    | Ham    |    61
 Mia    | Eggs   |   574
 Sam    | Ham    |   398
 Boo    | Jelly  |   963
 Mia    | Fish   |   811
 Mia    | Cherry |   725
 Mia    | Ice    |   415
 Emily  | Eggs   |   410
 Claire | Fish   |   249
 Dan    | Jelly  |   176
 Claire | Cherry |    73
 Emily  | Cherry |    47
 Chae   | Cherry |   924
 Mia    | Ham    |   828
 Emily  | Apple  |   591
 Wally  | Jelly  |   585
 Sam    | Ice    |   864
 Mia    | Eggs   |    83
 Mia    | Jelly  |   997
 Helen  | Ham    |   706
 Claire | Apple  |   869
 Boo    | Eggs   |   197
 Dan    | Jelly  |   311
 Sam    | Apple  |   809
 Emily  | Dates  |   467
 Helen  | Jelly  |   107
 Claire | Butter |   558
 Wally  | Butter |   278
 Helen  | Grapes |   341
 Claire | Eggs   |   522
 Dan    | Grapes |   817
 Emily  | Fish   |   739
 Emily  | Eggs   |   859
 Dan    | Cherry |   435
 Wally  | Grapes |   805
 Emily  | Cherry |   667
 Helen  | Ham    |   277
 Claire | Fish   |   710
 Mia    | Fish   |   895
 Wally  | Grapes |   277
 Wally  | Dates  |   304
 Sam    | Ham    |   454
 Sam    | Grapes |   600
 Dan    | Apple  |   653
 Sam    | Jelly  |   791
 Mia    | Ham    |   907
 Claire | Apple  |   131
 Mia    | Grapes |   397
 Chae   | Fish   |   112
 Emily  | Ham    |   959
 Sam    | Fish   |   345
 Dan    | Dates  |   255
 Sam    | Butter |   999
 Wally  | Ice    |   225
 Boo    | Dates  |   608
 Wally  | Jelly  |   355
 Wally  | Butter |   357
 Emily  | Fish   |   286
 Wally  | Ham    |   104
 Boo    | Ice    |    34
 Boo    | Butter |   608
 Claire | Ham    |   733
 Claire | Cherry |   776
 Emily  | Ham    |    41
 Claire | Fish   |   122
 Mia    | Ham    |   538
 Claire | Dates  |   133
 Mia    | Eggs   |   126
 Wally  | Jelly  |   845
 Claire | Butter |   750
 Helen  | Grapes |    64
 Helen  | Eggs   |   998
 Emily  | Butter |   991
 Sam    | Eggs   |   804
 Sam    | Jelly  |   421
 Wally  | Fish   |   404
 Sam    | Ham    |   409
 Boo    | Grapes |   187
 Claire | Ice    |    19
 Dan    | Ham    |   333
 Emily  | Butter |    27
 Sam    | Cherry |   432
 Claire | Grapes |   819
 Emily  | Apple  |   605
 Mia    | Fish   |   857
 Emily  | Apple  |   444
 Mia    | Apple  |   785
 Claire | Dates  |   875
 Sam    | Eggs   |   285
 Mia    | Fish   |   740
 Claire | Grapes |   419
 Wally  | Grapes |   554
 Claire | Grapes |   764
 Wally  | Apple  |   173
 Claire | Ham    |   725
 Chae   | Butter |   567
 Chae   | Ham    |   395
 Sam    | Fish   |   783
 Chae   | Ice    |   463
 Claire | Cherry |    49
 Sam    | Cherry |     2
 Wally  | Jelly  |   298
 Mia    | Eggs   |   929
 Sam    | Cherry |    81
 Claire | Dates  |   427
 Chae   | Eggs   |   134
 Sam    | Cherry |   140
 Wally  | Dates  |   304
 Emily  | Fish   |   432
 Mia    | Dates  |   628
 Mia    | Eggs   |   897
 Chae   | Jelly  |   184
 Emily  | Ham    |   661
 Helen  | Grapes |   846
 Wally  | Apple  |   839
 Emily  | Grapes |   302
 Boo    | Ham    |   420
 Wally  | Ham    |   626
 Boo    | Cherry |     8
 Chae   | Grapes |   455
 Chae   | Apple  |    10
 Dan    | Apple  |    43
 Mia    | Ice    |   653
 Sam    | Dates  |   364
 Helen  | Ham    |   586
 Sam    | Cherry |   456
 Mia    | Cherry |   358
 Emily  | Ham    |   802
 Mia    | Fish   |   696
 Wally  | Fish   |    47
 Helen  | Apple  |   152
 Dan    | Ham    |   113
 Mia    | Eggs   |   485
 Boo    | Apple  |   831
 Emily  | Eggs   |   107
 Claire | Apple  |   261
 Mia    | Butter |   314
 Helen  | Butter |   651
 Emily  | Butter |   529
